,tconst,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes
0,tt0058994,Bruce's Fingers,1976,91,"Action,Crime,Drama",5.2,132
1,tt0059680,Satan's Harvest,1970,88,Action,3.9,102
2,tt0060462,The Girls from Thunder Strip,1970,80,"Action,Drama",4.4,89
3,tt0060939,Santo vs. the Head Hunters,1971,80,"Action,Adventure,Drama",5.1,31
4,tt0060951,A Scream in the Streets,1973,96,"Action,Crime",4.7,226
5,tt0062936,Enter the Game of Death,1978,90,"Action,Drama",5.9,252
6,tt0063018,Iron Dragon Strikes Back,1979,99,"Action,Drama",6.1,99
7,tt0063066,Hibotan bakuto: Oryû sanjô,1970,100,"Action,Crime",7.1,93
8,tt0063137,The Invincible Six,1970,103,"Action,Adventure",6.1,91
9,tt0063353,Nihon jokyo-den: tekka geisha,1970,100,"Action,Crime",6.0,24
10,tt0064126,French Intrigue,1970,95,"Action,Crime,Drama",5.3,177
11,tt0064283,An Elephant Called Slowly,1970,91,"Action,Adventure,Comedy",6.1,113
12,tt0064321,The Female Bunch,1971,86,"Action,Crime,Drama",3.9,171
13,tt0064451,A Touch of Zen,1971,200,"Action,Adventure,Drama",7.6,4913
14,tt0064649,The McMasters,1970,90,"Action,Drama,Western",6.0,234
15,tt0064741,Nu xia mai ren tou,1970,86,"Action,Adventure",6.5,82
16,tt0064746,OSS 117 prend des vacances,1970,90,"Action,Adventure",5.3,44
17,tt0064930,Santo vs. Blue Demon in Atlantis,1970,85,"Action,Adventure,Mystery",5.7,95
18,tt0064932,Santo and Blue Demon vs. the Monsters,1970,85,"Action,Adventure,Fantasy",6.3,265
19,tt0064933,The World of the Dead,1970,85,"Action,Adventure,Drama",5.4,77
20,tt0064945,Schwarzer Nerz auf zarter Haut,1970,87,"Action,Thriller",2.7,19
21,tt0065171,The Vengeance of the Vampire Women,1970,85,"Action,Adventure,Fantasy",6.0,73
22,tt0065360,...tick... tick... tick...,1970,100,"Action,Drama",6.6,907
23,tt0065374,The Adventurers,1970,171,"Action,Adventure,Drama",5.4,624
24,tt0065377,Airport,1970,137,"Action,Drama,Thriller",6.6,16693
25,tt0065401,Angel Unchained,1970,86,"Action,Drama,Thriller",5.1,312
26,tt0065405,Angels Die Hard,1970,86,"Action,Drama",5.4,132
27,tt0065443,Bakumatsu,1970,120,"Action,Adventure,Drama",6.3,75
28,tt0065450,Vengeance!,1970,98,"Action,Drama,Romance",7.1,523
29,tt0065460,The Beast,1970,89,"Action,Crime,Thriller",5.1,137
30,tt0065462,Beneath the Planet of the Apes,1970,95,"Action,Adventure,Sci-Fi",6.1,40405
31,tt0065474,Black Angels,1970,87,"Action,Drama",4.8,99
32,tt0065495,Brothers Five,1970,109,"Action,Drama",6.6,157
33,tt0065501,A Bullet for Pretty Boy,1970,89,"Action,Biography,Crime",5.1,167
34,tt0065511,C.C. & Company,1970,94,"Action,Comedy,Drama",4.8,626
35,tt0065520,Cannon for Cordoba,1970,104,"Action,Romance,Western",5.8,489
36,tt0065538,Chanoc contra el tigre y el vampiro,1972,85,"Action,Adventure,Horror",5.7,34
37,tt0065539,Chanoc en las garras de las fieras,1970,88,"Action,Adventure",6.8,31
38,tt0065543,Chi-zome no daimon,1970,87,"Action,Crime",6.8,61
39,tt0065555,Violent City,1970,100,"Action,Crime,Thriller",6.4,2140
40,tt0065570,El Condor,1970,102,"Action,Adventure,Romance",6.0,928
41,tt0065579,Cotton Comes to Harlem,1970,97,"Action,Comedy,Crime",6.5,1629
42,tt0065610,Darker Than Amber,1970,96,"Action,Drama,Mystery",6.1,407
43,tt0065626,Play It Cool,1970,94,"Action,Crime,Drama",7.2,39
44,tt0065681,Black Lemons,1970,99,"Action,Crime,Drama",5.8,42
45,tt0065688,Zapata,1970,120,"Action,Biography,Drama",7.0,46
46,tt0065713,Ezo yakata no ketto,1970,131,Action,6.8,12
47,tt0065720,Figures in a Landscape,1970,110,"Action,Thriller",6.5,1140
48,tt0065755,Gamera vs. Jiger,1970,83,"Action,Adventure,Family",5.5,912
49,tt0065803,The Angry River,1971,90,"Action,Adventure",6.5,86
50,tt0065815,The Hard Ride,1971,93,"Action,Drama",5.4,211
51,tt0065826,Hell's Bloody Devils,1970,89,"Action,Crime,Drama",3.2,187
52,tt0065850,Hornets' Nest,1970,110,"Action,Drama,War",5.8,790
53,tt0065932,Blind Woman's Curse,1970,85,"Action,Crime,Horror",6.7,1057
54,tt0065962,Land Raiders,1970,101,"Action,Western",5.3,301
55,tt0065966,The Last Escape,1970,90,"Action,Drama,War",5.2,133
56,tt0065973,Summer Love,1970,92,"Action,Crime,Drama",4.8,38
57,tt0065975,Churchill's Leopards,1970,84,"Action,Thriller,War",4.9,199
58,tt0065999,The Hammer of God,1970,87,"Action,Crime,Drama",6.7,506
59,tt0066001,The Looking Glass War,1970,108,"Action,Drama,Thriller",5.9,940
60,tt0066004,Piao xiang jian yu,1977,93,"Action,Romance",6.4,26
61,tt0066031,Machibuse,1970,117,"Action,Drama",7.1,747
62,tt0066064,The McKenzie Break,1970,108,"Action,Drama,War",6.5,1351
63,tt0066078,Michael the Brave,1971,203,"Action,Biography,Drama",8.4,5997
64,tt0066095,Moonfire,1970,107,"Action,Adventure,Drama",4.7,75
65,tt0066126,The Losers,1970,95,"Action,Drama,Thriller",5.4,424
66,tt0066175,Odin iz nas,1971,104,Action,7.2,48
